Uniq Id,Product Name,Category,Selling Price,Image,Product Url
4c69b61db1fc16e7013b43fc926e502d,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete",Sports & Outdoors,$237.68,https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg,https://www.amazon.com/DB-Longboards-CoreFlex-Fiberglass-Longboard/dp/B07KMVJJK7
66d49bbed043f5be260fa9f7fbff5957,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",Toys & Games,$99.95,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg,https://www.amazon.com/Electronic-Circuits-Classpack-Motion-Detector/dp/B008AK6DAS
2c55cae269aebf53838484b0d7dd931a,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",Toys & Games,$34.99,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg,https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F
18018b6bc416dab347b1b7db79994afa,Guillow Airplane Design Studio with Travel Case Building Kit,Toys & Games,$28.91,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg,https://www.amazon.com/Guillow-Airplane-Design-Studio-Building/dp/B076Y2SNHM
e04b990e95bf73bbe6a3fa09785d7cd0,Woodstock- Collage 500 pc Puzzle,Toys & Games,$17.49,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg,https://www.amazon.com/Woodstock-Collage-500-pc-Puzzle/dp/B07MX21WWX
f8c32a45e507a177992973cf0d46d20c,"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",,$18.66,https://images-na.ssl-images-amazon.com/images/I/41EdPcg0uzL.jpg,https://www.amazon.com/Terra-Battat-Dinosaurs-Collectable-Stegosaurus/dp/B07PF1R8LS
40d3cd16b41970ae6872e914aecf2c8e,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Clothing, Shoes & Jewelry",$29.12,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg,https://www.amazon.com/Rubies-Deluxe-Pikachu-Pokemon-Costume/dp/B07BZJM592
bc178f33a04dbccefa95b165f8b56830,"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",Toys & Games,$97.68,https://images-na.ssl-images-amazon.com/images/I/41RQ9OU%2BTPL.jpg,https://www.amazon.com/Hoffmaster-120813-Double-Tipped-Triangular-Wrapped/dp/B00BS7XCZ4
cc2083338a16c3fe2f7895289d2e98fe,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Home & Kitchen,$12.99,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg,https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA
69828c5570dcdbd1609216d33fbad0db,Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box,,$38.49,https://images-na.ssl-images-amazon.com/images/I/51LFAQfMX6L.jpg,https://www.amazon.com/Pokemon-TCG-Crimson-Invasion-Trainer/dp/B074NCGNX2
